"Frage","Antwort"
"Darf ich mit Klasse B einen Anhänger ziehen?","Ja, bis 750 kg, oder bis 3,5 t Gesamtgewicht (Auto + Anhänger)."
"Was ist Führerschein Klasse BE?","Damit darfst du größere Anhänger über 750 kg ziehen."
"Kann ich den BE-Führerschein direkt mitmachen?","Ja, das ist möglich."
"Wie teuer ist eine Fahrstunde für Anhänger?","Etwa 70 bis 90 Euro."
"Wie läuft die BE-Prüfung ab?","Du fährst mit Anhänger und musst Rangieraufgaben lösen."
"Kann ich mit Klasse B Motorrad fahren?","Nur Roller bis 50 ccm (Klasse AM)."
"Was ist die B196-Regelung?","Damit darfst du Leichtkrafträder bis 125ccm fahren, wenn du 25 Jahre alt bist und 5 Jahre Klasse B hast."
"Wie beantrage ich die B196-Erweiterung?","Über die Fahrschule, mit Theorie und Praxisstunden, aber ohne Prüfung."
"Wie teuer ist B196?","Etwa 700 bis 1.000 Euro."
"Kann ich den Führerschein in Raten zahlen?","Viele Fahrschulen bieten Ratenzahlung an."
"Gibt es eine Mindestanzahl an Übungsstunden?","Nein, nur Pflichtstunden. Übungsstunden sind individuell."
"Was ist, wenn ich lange keine Prüfung mache?","Dein Antrag verfällt nach 12 Monaten für Theorie, 18 Monaten für Praxis."
"Wie melde ich mich zur Theorieprüfung an?","Die Fahrschule übernimmt die Anmeldung."
"Wie melde ich mich zur Praxisprüfung an?","Ebenfalls über die Fahrschule."
"Kann ich die Prüfungen auch an einem Tag machen?","Nein, erst Theorie, dann Praxis."
"Wie viele Fragen muss ich lernen?","Über 1.000 offizielle Fragen im Fragenkatalog."
"Ändert sich der Fragenkatalog?","Ja, zweimal pro Jahr kommen neue Fragen hinzu."
"Kann ich mit Klasse B ein Wohnmobil fahren?","Ja, bis 3,5 t."
"Brauche ich einen speziellen Führerschein für Wohnmobile?","Ab 3,5 t brauchst du Klasse C1."
"Kann ich mit Führerschein B auch einen Transporter fahren?","Ja, solange das Gesamtgewicht unter 3,5 t liegt."
"Was ist die Probezeit beim Führerschein?","Sie dauert 2 Jahre. Bei Verstößen kann sie verlängert werden."
"Was passiert bei einem A-Verstoß in der Probezeit?","Die Probezeit verlängert sich auf 4 Jahre, dazu Aufbauseminar."
"Was passiert bei einem B-Verstoß in der Probezeit?","Zwei B-Verstöße gelten wie ein A-Verstoß."
"Kann ich im Urlaub Fahrschule machen?","Ja, es gibt Ferienfahrschulen mit Intensivkursen."
"Wie viel kostet der Führerschein in anderen Ländern?","Die Preise variieren, in Deutschland meist 1.500–2.500 Euro."
"Kann ich den Führerschein im Ausland machen?","Ja, aber er muss in Deutschland anerkannt werden."
"Was ist eine MPU?","Die Medizinisch-Psychologische Untersuchung, erforderlich z. B. nach Alkohol- oder Drogendelikten."
"Wie bereite ich mich auf die MPU vor?","Mit einer Beratungsstelle oder speziellen MPU-Kursen."
"Charly, wie funktionierst du?","Das ist eine sehr gute Frage! Einfach erklärt: Ich besitze einen FAQ Katalog, den die Anna mir erstellt hat. In erster Linie versuche ich meine Antworten auf eure Fragen daraus zu ziehen. Wenn ich dort aber keine passende Antwort finde, aktiviere ich die KI und suche im Netz nach passenden Antworten. :)"
